invoice_and_item_number	date	store_number	store_name	address	city	zip_code	store_location	county_number	county	vendor_number	vendor_name	item_number	item_description	pack	bottle_volume_ml	state_bottle_cost	state_bottle_retail	bottles_sold	sale_dollars	volume_sold_liters	volume_sold_gallons
INV-25321800029	19/02/2020	4810	KUM & GO #518 / ANKENY	3603 NE OTTERVIEW CIRCLE	ANKENY	50021	POINT(-93.572458 41.760989)	77.0	POLK	65	JIM BEAM BRANDS	19061	JIM BEAM MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25093400022	7/02/2020	3728	BREWSKI'S BEVERAGE	726 CREEK TOP	COUNCIL BLUFFS	51503	POINT(-95.854809 41.262316)	78.0	POTTAWATTAMIE	65	JIM BEAM BRANDS	19061	JIM BEAM MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25199500036	12/02/2020	2565	HY-VEE FOOD STORE #1636 / SPENCER	819 N GRAND AVE	SPENCER	51301	POINT(-95.14506 43.145897)	21.0	CLAY	65	JIM BEAM BRANDS	19061	JIM BEAM MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25321300015	19/02/2020	4397	QUIK TRIP #514 / ANKENY	802 E 1ST ST	ANKENY	50021	POINT(-93.586368 41.731862)	77.0	POLK	65	JIM BEAM BRANDS	19061	JIM BEAM MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25422800050	24/02/2020	4945	OSAGE LIQUORS	508, MAIN ST	OSAGE	50461	POINT(-92.814028 43.284116)	66.0	MITCHELL	65	JIM BEAM BRANDS	27408	JIM BEAM HONEY MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25148600102	11/02/2020	2651	HY-VEE / WAVERLY	1311 4 STREET SW	WAVERLY	50677	POINT(-92.475403 42.712263)	9.0	BREMER	65	JIM BEAM BRANDS	27780	JIM BEAM APPLE MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25314400030	18/02/2020	4819	SUPER STOP 2 / ALTOONA	2635 ADVENTURELAND DR	ALTOONA	50009	POINT(-93.494642 41.65854)	77.0	POLK	65	JIM BEAM BRANDS	27780	JIM BEAM APPLE MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
INV-25524400031	28/02/2020	2656	HY-VEE FOOD STORE / CORNING	300  10TH ST	CORNING	50841	POINT(-94.731809 40.991861)	2.0	ADAMS	65	JIM BEAM BRANDS	28275	JIM BEAM PEACH MINI	12	50	5.4	8.1	1	8.1	0.05	0.01
