invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
INV-26742900035,22/04/2020,4296,CIRCLE B MARKET,111 MAIN ST,KEOSAUQUA,52565,POINT(-91.962466 40.7294),89,VAN BUREN,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
INV-26794900056,24/04/2020,2672,HY-VEE / WINTERSET,923 N  1ST ST,WINTERSET,50273,POINT(-94.013482 41.342665),61,MADISON,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
INV-26911400038,29/04/2020,5911,OLD FIRE LIQUOR / BUFFALO CENTER,113 1ST ST NW,BUFFALO CENTER,50424,POINT(-93.947595 43.386755),95,WINNEBAGO,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
INV-26647400002,17/04/2020,4334,FAREWAY STORES #114 / DUBUQUE,2050 JOHN F KENNEDY RD,DUBUQUE,52001,,31,DUBUQUE,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
INV-26692100021,21/04/2020,5307,FAREWAY STORES #167/JOHNSTON,6005 MERLE HAY ROAD,JOHNSTON,50131,POINT(-93.697658 41.670127),77,POLK,380,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.6,6.9,1,7.34,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
INV-59544800002,19/06/2023,4787,380BP / SWISHER,2722 NE 120TH ST,SWISHER,52338,POINT(-91.664584489 41.84887461),,JOHNSON,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-59812300006,28/06/2023,2501,HY-VEE  #2 (1018) / AMES,640 LINCOLNWAY,AMES,50010,POINT(-93.619668015 42.020044011),,STORY,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-59708800004,23/06/2023,5966,CASEY'S GENERAL STORE #22 / CHARITON,1421 COURT AVE,CHARITON,50049,POINT(-93.3155849729999 41.014806009),,LUCAS,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-59758300003,27/06/2023,5594,DEPOT NORWAY,117 E RAILROAD ST,NORWAY,52318,POINT(-91.92015098 41.902567992),,BENTON,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-59551200001,19/06/2023,4269,TIPTON FAMILY FOODS,610 CEDAR ST,TIPTON,52772,POINT(-91.12743802 41.771641994),,CEDAR,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-58982100006,2/06/2023,4757,EZ MART / BONDURANT,1111 SE LINCOLN STREET,BONDURANT,50035,POINT(-93.457516997 41.692248984),,POLK,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-58978700002,1/06/2023,4428,KUM & GO #200 / AMES,4510 MORTENSEN RD,AMES,50014,POINT(-93.679602981 42.011595011),,STORY,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01,1012100,CANADIAN WHISKIES,,62023
INV-38510400138,20/07/2021,4152,FOOD LAND SUPER MARKETS,407 W HURON,MISSOURI VALLEY,51555,POINT(-95.899346 41.557404),43,HARRISON,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-38257300037,12/07/2021,4495,CASEY'S GENERAL STORE #3055 / GRUNDY CENTER,"504, G AVE",GRUNDY CENTER,50638,POINT(-92.770411 42.361494),38,GRUNDY,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-38365200023,15/07/2021,4449,KUM & GO #121 / URBANDALE,12041 DOUGLAS PKWY,URBANDALE,50322,POINT(-93.782998 41.62962),77,POLK,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-38340300015,14/07/2021,4254,FAREWAY STORES #849 / EMMETSBURG,2008  12TH ST,EMMETSBURG,50536,POINT(-94.677307 43.109244),74,PALO ALTO,421,SAZERAC COMPANY  INC,12853,RICH & RARE RESERVE MINI,5,50,5.16,7.74,1,7.74,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-38673700014,26/07/2021,2465,SID'S BEVERAGE SHOP,2727 DODGE ST,DUBUQUE,52003,POINT(-90.705328 42.491862),31,DUBUQUE,380,PHILLIPS BEVERAGE,14492,REVEL STOKE ROASTED PECAN MINI,12,50,4.6,6.9,1,6.9,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-38681600022,27/07/2021,3918,SMOKIN' JOE'S #1 TOBACCO AND LIQUOR OUTLET,3120 ROCKINGHAM RD,DAVENPORT,52802,POINT(-90.621541 41.510082),82,SCOTT,380,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.6,6.9,1,6.9,0.05,0.01,1012100,CANADIAN WHISKIES,,72021
INV-40349300047,23/09/2021,2571,HY-VEE FOOD STORE #2 / WATERLOO,2181 LOGAN AVE,WATERLOO,50703,POINT(-92.337583 42.530476),7,BLACK HAWK,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-40287800027,21/09/2021,4891,SCHOTTSY'S LIQUOR,109 5TH ST,SIBLEY,51249,POINT(-95.759943 43.403935),72,OSCEOLA,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-40048600007,14/09/2021,3918,SMOKIN' JOE'S #1 TOBACCO AND LIQUOR OUTLET,3120 ROCKINGHAM RD,DAVENPORT,52802,POINT(-90.621541 41.510082),82,SCOTT,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-40033700021,13/09/2021,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,POINT(-90.193204 41.836268),23,CLINTON,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-40573200020,30/09/2021,4668,CLEAR LAKE PAYLESS FOODS,20 SOUTH 4TH ST,CLEARLAKE,50428,POINT(-93.380368 43.135941),17,CERRO GORDO,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-39784900125,3/09/2021,2505,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,POINT(-93.876107 42.063831),8,BOONE,421,SAZERAC COMPANY  INC,12871,RICH & RARE PEACH MINI,10,50,5.16,7.74,1,7.74,0.05,0.01,1012100,CANADIAN WHISKIES,,92021
INV-63814800002,31/10/2023,5882,HOMETOWN FOODS / STATE CENTER,120 E MAIN ST,STATE CENTER,50247,POINT(-93.162374009 42.016593014),,MARSHALL,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-62983800001,5/10/2023,4428,KUM & GO #200 / AMES,4510 MORTENSEN RD,AMES,50014,POINT(-93.679602981 42.011595011),,STORY,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-63261900003,13/10/2023,5935,CASEY'S GENERAL STORE #3932 / URBANDALE,4580 114TH STREET,URBANDALE,50322,POINT(-93.774595607 41.643211676),,POLK,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-63569100005,23/10/2023,5618,CASEY'S GENERAL STORE #1446 / LISBON,150 E. BUSINESS 30,LISBON,52253,POINT(-91.38471 41.921245),,LINN,421,SAZERAC COMPANY  INC,101712,99 RAINBOW PACK MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-63091200003,9/10/2023,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,POINT(-91.036596965 41.450459995),,MUSCATINE,421,SAZERAC COMPANY  INC,101712,99 RAINBOW PACK MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-63223600002,12/10/2023,5889,SUPER QUICK LIQUOR / WDM,1800 22ND ST,WEST DES MOINES,50266,POINT(-93.736764041 41.599012004),,POLK,421,SAZERAC COMPANY  INC,102027,99 PUNCHES VARIETY MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,102023
INV-59648200002,22/06/2023,5920,KUM & GO #0131 / HUXLEY,1706 HWY 210,HUXLEY,50046,POINT(-93.564825006 41.877817393),,STORY,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-59027000001,3/06/2023,5183,CASEY'S GENERAL STORE #77 / CASCADE,717 1ST  AVE,CASCADE,52033,POINT(-91.005478981 42.302058005),,DUBUQUE,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-59138900002,6/06/2023,5540,CASEY'S GENERAL STORE #2447 / SERGEANT BLUFF,111 GAUL DR,SERGEANT BLUFF,51054,POINT(-96.35254396 42.39899702),,WOODBURY,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-59022100001,3/06/2023,6068,STAR CONVENIENCE / FORT DODGE,115 N 22ND ST,FORT DODGE,50501,POINT(-94.1675770159999 42.5079869910001),,WEBSTER,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-59018900002,3/06/2023,2518,HY-VEE WINE AND SPIRITS (1544) / RED OAK,1607 NORTH BROADWAY,RED OAK,51566,POINT(-95.232857114 41.018577361),,MONTGOMERY,421,SAZERAC COMPANY  INC,101180,99 FRUITS MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-59608700004,21/06/2023,4529,CASEY'S GENERAL STORE #3262 / BUFFALO,101 1ST ST NE,BUFFALO CENTER,50424,POINT(-93.945463792 43.386410306),,WINNEBAGO,421,SAZERAC COMPANY  INC,102027,99 PUNCHES VARIETY MINI,1,50,51.6,77.4,1,77.4,0.05,0.01,1081400,AMERICAN SCHNAPPS,,62023
INV-63172200001,11/10/2023,5655,ONE STOP SHOP #3 / ALGONA,220 S PHILLIPS ST,ALGONA,50511,POINT(-94.227251976 43.067233019),,KOSSUTH,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-63570700001,23/10/2023,5184,CASEY'S GENERAL STORE #3440 / CAMANC,"614, S  WASHINGTON BLVD",CAMANCHE,52730,POINT(-90.256413021 41.787995003),,CLINTON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-63529500001,22/10/2023,5557,CASEY'S GENERAL STORE #2014 / FORT DODGE,2206 2ND AVE N,FORT DODGE,50501,POINT(-94.167543992 42.508692999),,WEBSTER,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-63245200001,13/10/2023,6006,CASEY'S GENERAL STORE #2635 / JOHNSTON,10010 NW 62ND AVE,JOHNSTON,50131,POINT(-93.756485988 41.672472009),,POLK,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-63151000001,11/10/2023,5860,KUM & GO #0217 -AMES,3111 SOUTH DUFF AVENUE,AMES,50010,POINT(-93.611076983 41.994777015),,STORY,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-63503100001,20/10/2023,3868,WAL-MART 3630 / MARION,5491 BUSINESS HWY 151,MARION,52302,POINT(-91.55303896 42.033397011),,LINN,421,SAZERAC COMPANY  INC,101710,FIREBALL WINDOW BOX MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,102023
INV-53112300005,16/11/2022,4499,CASEY'S GENERAL STORE #1316 / MILFORD,510 OKOBOJI AVE,MILFORD,51351,POINT(-95.14998 43.32009),,DICKINSON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-52888700022,9/11/2022,5655,ONE STOP SHOP #3 / ALGONA,220 S PHILLIPS ST,ALGONA,50511,POINT(-94.22686 43.06723),,KOSSUTH,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-52991600056,14/11/2022,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,POINT(-91.592 41.68238),,JOHNSON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-53382900053,25/11/2022,2607,HY-VEE WINE AND SPIRITS / SHENANDOAH,520 SO FREMONT,SHENANDOAH,51601,POINT(-95.3851 40.76162),,PAGE,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-53254100009,21/11/2022,5551,CASEY'S GENERAL STORE #2769 / WILLIAMSBURG,130 W EVANS ST,WILLIAMSBURG,52361,POINT(-92.00901 41.68952),,IOWA,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-53466500119,29/11/2022,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,POINT(-90.61251 41.53819),,SCOTT,259,HEAVEN HILL BRANDS,27453,CINERATOR MINI,8,50,6.38,9.57,1,9.57,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-52964200049,11/11/2022,5236,"GIGGLE JUICE LIQUOR STATION, LLC",600 W. MAIN ST.,ANAMOSA,52205,POINT(-91.29085 42.10821),,JONES,421,SAZERAC COMPANY  INC,27793,DR. APPLE WHISKEY MINI,12,50,5,7.5,1,7.5,0.05,0.01,1081600,WHISKEY LIQUEUR,,112022
INV-56703200010,15/03/2023,6271,KIMMES KINGSLEY COUNTRY STORE #16 / KINGSLEY,109 MAIN ST.,KINGSLEY,51028,POINT(-95.96733 42.58712),,PLYMOUTH,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-56764300077,17/03/2023,2506,HY-VEE #2 (1044) / BURLINGTON,3140 AGENCY,BURLINGTON,52601,POINT(-91.13664 40.81467),,DES MOINES,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-57097700001,30/03/2023,6220,PRIME WINE AND SPIRITS / MASON CITY,1104 NORTH FEDERAL AVENUE,MASON CITY,50401,POINT(-93.2011 43.16219),,CERRO GORDO,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-56670200012,14/03/2023,5368,CASEY'S GENERAL STORE # 2169/ INDEPENDENCE,816 1ST ST. WEST,INDEPENDENCE,50644,POINT(-91.90363 42.46861),,BUCHANAN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-56820800006,20/03/2023,5553,CASEY'S GENERAL STORE #2222 / CLINTON,1107 13TH AVE N,CLINTON,52732,POINT(-90.2119 41.85933),,CLINTON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-57104800001,30/03/2023,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT(-96.34718 42.44756),,WOODBURY,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-56281500019,1/03/2023,5003,FAMOUS LIQUORS,2604 W LOCUST ST,DAVENPORT,52804,POINT(-90.61555 41.53819),,SCOTT,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,32023
INV-47102700033,4/05/2022,2620,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,POLK,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-47600000117,19/05/2022,2626,HY-VEE DRUGSTORE / UNIVERSITY / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,POINT(-93.673312 41.600361),77,POLK,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-47075500004,3/05/2022,5380,TRANSIT GENERAL STORE,2324 TRANSIT PLAZA,SIOUX CITY,51106,POINT(-96.378682 42.476368),97,WOODBURY,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-47379600013,12/05/2022,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,POINT(-91.60978 41.976835),57,LINN,421,SAZERAC COMPANY  INC,101710,FIREBALL WINDOW BOX MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-47284400133,10/05/2022,3820,"CHARLIE'S WINE AND SPIRITS,",507 W 19TH ST,SIOUX CITY,51103,POINT(-96.420193 42.510535),97,WOODBURY,421,SAZERAC COMPANY  INC,101710,FIREBALL WINDOW BOX MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-47238700027,9/05/2022,2671,HY-VEE  /  JEFFERSON,"106, W WASHINGTON ST",JEFFERSON,50129,POINT(-94.375508 42.017267),37,GREENE,421,SAZERAC COMPANY  INC,101710,FIREBALL WINDOW BOX MINIS,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,52022
INV-50766100011,30/08/2022,4493,CASEY'S GENERAL STORE #2850 / CEDAR RAPIDS,5655 C ST SW,CEDAR RAPIDS,52404,POINT(-91.637307 41.922514),,LINN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-50398200006,17/08/2022,4506,CASEY'S GENERAL STORE #2667 / TIFFIN,403 STEPHENS ST,TIFFIN,52340,POINT(-91.660201 41.707283),,JOHNSON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-50839100047,31/08/2022,2285,JOHN'S GROCERY,401 EAST MARKET ST,IOWA CITY,52240,POINT(-91.529854 41.663541),,JOHNSON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-50647500010,25/08/2022,5270,CASEY'S GENERAL STORE # 2783/ URBAND,4901 86TH ST,URBANDALE,50322,POINT(-93.736378 41.649717),,POLK,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-50189900019,9/08/2022,5546,CASEY'S #3954 / NEWTON,3104 1ST AVE E,NEWTON,50208,POINT(-93.013639 41.699186),,JASPER,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-50138600003,8/08/2022,4492,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,3625 EDGEWOOD RD SW,CEDAR RAPIDS,52404,POINT(-91.715911 41.942366),,LINN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82022
INV-60835600001,1/08/2023,5687,CASEY'S GENERAL STORE #3756 / CEDAR RAPIDS,4560 16TH AVE SW,CEDAR RAPIDS,52404,POINT(-91.730023851 41.964221374),,LINN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61021300001,7/08/2023,4530,CASEY'S GENERAL STORE #2566 / ELY,1495 STATE ST,ELY,52227,POINT(-91.587598972 41.872276003),,LINN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61167600001,11/08/2023,5754,CASEY'S GENERAL STORE #2342 / BURLINGTON,3105 WEST AVE,BURLINGTON,52601,POINT(-91.140518985 40.799849001),,DES MOINES,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61766500001,30/08/2023,10089,CASEY'S #4306 / FAIRFIELD,1601 WEST BURLINGTON AVENUE,FAIRFIELD,52556,POINT(-91.981819995 41.007097005),,JEFFERSON,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61475300001,22/08/2023,2676,HY-VEE GAS / INDIANOLA,912 N JEFFERSON WAY,INDIANOLA,50125,POINT(-93.556514985 41.368733003),,WARREN,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61488500001,22/08/2023,5683,CASEY'S GENERAL STORE #2697 / ONAWA,706 10TH ST,ONAWA,51040,POINT(-96.097746005 42.030378982),,MONONA,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-61630000001,25/08/2023,5558,CASEY'S GENERAL STORE #1280 / FORT DODGE,1133 S 22ND ST,FORT DODGE,50501,POINT(-94.167417006 42.491883008),,WEBSTER,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01,1081600,WHISKEY LIQUEUR,,82023
INV-64212600001,13/11/2023,2721,HY-VEE C-STORE #3 / DUBUQUE,300 S LOCUST,DUBUQUE,52003,POINT(-90.664055986 42.488579993),,DUBUQUE,421,SAZERAC COMPANY  INC,100535,FIREBALL GIFT BOX,1,50,51.6,77.4,1,77.4,0.05,0.01,1701100,TEMPORARY & SPECIALTY PACKAGES,,112023
INV-64631400001,24/11/2023,4782,CASEY'S GENERAL STORE #2529 / LAMONI,406 E MAIN ST,LAMONI,50140,POINT(-93.929104998 40.623876015),,DECATUR,421,SAZERAC COMPANY  INC,100847,FIREBALL CINNAMON WHISKEY CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01,1701100,TEMPORARY & SPECIALTY PACKAGES,,112023
INV-64702200002,28/11/2023,6319,SERGEANT BLUFF PUMP 'N PAK / SERGEANT BLUFF,200 1ST STREET,SERGEANT BLUFF,51054,POINT(-96.367624009 42.403700986),,WOODBURY,421,SAZERAC COMPANY  INC,100847,FIREBALL CINNAMON WHISKEY CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01,1701100,TEMPORARY & SPECIALTY PACKAGES,,112023
INV-64669500002,27/11/2023,5159,KIMMES ROCKWELL CITY COUNTRY STORE #,"730, HIGH ST",ROCKWELL CITY,50579,POINT(-94.63898598 42.399206987),,CALHOUN,421,SAZERAC COMPANY  INC,100847,FIREBALL CINNAMON WHISKEY CANDY CANES,1,50,51.6,77.4,1,77.4,0.05,0.01,1701100,TEMPORARY & SPECIALTY PACKAGES,,112023
